"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Deandre Ayton","Por","C","26.4","15","30.7","19.4","13","19","0.684","164","0.591","17","0.294","0.577","0.586","14.8","9.8","1.3","0.9","0.7","1.8","24.6","16.1","25.9","7.5","111.7","110.3"
"","Jonathan Kuminga","Gol","F","22.2","19","23.6","27.5","10.2","77","0.597","167","0.509","70","0.314","0.498","0.521","14.8","4.3","1.8","1","0.5","1.4","19.2","16.7","21","8.2","104","103.4"
"","Ivica Zubac","Lac","C","27.7","24","32.3","18.9","16.2","69","0.522","259","0.602","0","0","0.602","0.601","14.5","12.2","2.4","0.5","1","2.1","26.7","16.9","29","9.3","116.6","104.4"
"","Desmond Bane","Mem","G","26.4","16","28","22.7","15.2","36","0.806","109","0.532","91","0.319","0.508","0.537","14.5","6.3","4.1","0.9","0.5","2.3","20.8","18.6","24.8","10.3","106","102.5"
"","Buddy Hield","Gol","G","32","21","23.4","22.9","9.2","26","0.923","77","0.481","159","0.428","0.589","0.61","14.4","3.5","1.5","0.8","0.2","1.1","17.9","15.9","19.4","7.2","116","104.3"
"","Tobias Harris","Det","F","32.4","23","32.5","18.7","9.5","52","0.827","171","0.509","104","0.346","0.513","0.546","14.1","6.8","2.4","0.9","0.9","1.3","20.9","16.6","23.3","7.5","111.7","109.7"
"","Tre Mann","Cha","G","23.8","13","24.5","25.9","13.4","21","0.905","101","0.455","60","0.4","0.509","0.537","14.1","2.9","3","0.5","0.3","1.9","17","17.1","20","8.1","107.7","113.8"
"","Josh Hart","Nyk","G","29.8","22","37.2","14","17.1","46","0.87","123","0.715","75","0.4","0.672","0.701","13.9","8.6","5.7","1.4","0.4","1.9","22.5","19.6","28.3","9.5","136.6","109.2"
"","Dejounte Murray","Nor","G","28.2","6","31.8","26.9","17.6","19","0.895","61","0.344","32","0.25","0.355","0.409","13.8","6","6","2.3","0.3","3.3","19.8","19.8","25.8","10","86.9","110"
"","Jarrett Allen","Cle","C","26.6","23","29.7","15.4","11.9","80","0.738","183","0.705","1","0","0.701","0.723","13.8","10.5","1.8","1","0.9","1.1","24.3","15.6","26.1","8.6","141.6","106.6"
"","Malcolm Brogdon","Was","G","32","9","23.8","23.1","13.3","32","0.844","70","0.543","21","0.333","0.533","0.59","13.8","4.3","2.6","0.4","0.3","1.6","18.1","16.3","20.7","9","114","116.9"
"","Dyson Daniels","Atl","G","21.7","21","33.6","18.3","12.1","33","0.667","184","0.511","85","0.294","0.489","0.503","13.6","5","3.1","3","0.9","1.8","18.6","16.7","21.7","7.1","102.4","108.3"
"","Santi Aldama","Mem","F-C","23.9","23","27.6","17.8","11.5","24","0.75","142","0.634","97","0.361","0.596","0.607","13.2","7.6","3.3","1","0.4","1.3","20.7","16.4","24","10","121.5","107.6"
"","Jordan Hawkins","Nor","G","22.6","11","27.4","21.5","10","31","0.903","60","0.417","66","0.333","0.46","0.516","13.1","3.8","1.3","0.3","0.4","1.3","16.9","14.4","18.2","5.9","103.5","120.3"
"","Naz Reid","Min","C-F","25.3","21","24.5","21.3","11.2","40","0.9","100","0.6","106","0.368","0.575","0.61","13","5","1.5","0.8","0.7","1.2","18","14.5","19.4","7.5","115.5","101.8"
"","Kelly Oubre Jr.","Phi","F-G","29","20","30.9","19.3","10.3","40","0.75","136","0.529","91","0.308","0.502","0.527","12.9","4.9","1.5","1.2","0.5","1.3","17.8","14.4","19.2","5.9","105.9","107.2"
"","Moritz Wagner","Orl","F-C","27.6","24","19.3","26.7","16.6","89","0.742","146","0.637","60","0.317","0.59","0.63","12.9","5.2","1.4","0.8","0.5","1.7","18","14.3","19.4","9.4","114.9","98.1"
"","Keldon Johnson","San","F-G","25.2","21","26.2","20.5","7.2","62","0.742","135","0.548","83","0.301","0.511","0.548","12.8","5.5","1.6","0.7","0.2","0.8","18.3","14.4","19.9","7.4","112.8","109"
"","Daniel Gafford","Dal","F-C","26.2","22","21.1","19","10","65","0.692","162","0.728","0","0","0.728","0.737","12.8","6.6","1.3","0.5","1.2","0.8","19.4","14.1","20.7","9.1","145.3","100.8"
"","Terry Rozier","Mia","G","30.7","18","29.3","20","13.7","35","0.886","93","0.462","102","0.363","0.505","0.542","12.7","3.5","3.2","0.6","0.3","1.7","16.2","15.8","19.3","7.1","106.4","111.6"
"","P.J. Washington","Dal","F","26.3","18","32.5","16.7","13.7","44","0.75","114","0.5","69","0.391","0.533","0.563","12.7","8.5","2.6","1.3","1.2","1.6","21.2","15.2","23.7","8.1","113.2","105.6"
"","Ayo Dosunmu","Chi","G","24.9","23","29.6","17.1","11.2","48","0.813","139","0.619","90","0.3","0.552","0.584","12.7","3.9","4.5","0.7","0.4","1.3","16.6","17.2","21.1","8.2","120.5","115.8"
"","Klay Thompson","Dal","G","34.8","19","27.7","20","7.8","18","0.944","79","0.405","144","0.368","0.5","0.52","12.6","3.4","1.9","0.6","0.4","1","16.1","14.5","17.9","6.3","107.7","112.8"
"","Bobby Portis","Mil","F","29.8","20","23.6","24.8","9.8","24","0.75","166","0.5","64","0.344","0.504","0.52","12.5","7.1","1.5","0.6","0.5","1.3","19.6","14","21.1","8.7","104.5","107.5"
